book_id,author_id,category_id,cover,created_at,description,is_free,is_member_only,is_published,isbn,price,publish_date,publisher,rating,read_count,tags,title,updated_at,word_count
23,9,2,23_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2010-05-06T16:00:00+00:00,,0,0,,金锁记,2026-01-11 17:16:57,5162
24,22,2,24_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2016-12-31T16:00:00+00:00,,0,0,,我的天才女友,2026-01-11 17:16:57,99149
25,23,2,25_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2010-11-30T16:00:00+00:00,陕西师范大学出版社,0,0,,严歌苓作品集:扶桑,2026-01-11 17:16:57,40823
26,16,2,26_cover.jpg,2026-01-11 17:16:57,,true,false,true,978-7-5302-1111-3,0,2020-06-11,北京十月文艺出版社,0,0,,撒哈拉的故事（三毛全集·02）,2026-01-11 17:16:57,104299
27,24,2,27_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2009-12-31T16:00:00+00:00,东方出版中心,0,0,,文化苦旅,2026-01-11 17:16:57,156442
28,25,2,28_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2012-01-31T16:00:00+00:00,中国青年出版社,0,0,,朱生豪情书全集 (新青年文库•名家名作手稿珍藏本系列),2026-01-11 17:16:57,28739
29,26,2,29_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2010-03-31T16:00:00+00:00,陕西师范大学出版社,0,0,,沉默的大多数 (王小波作品系列),2026-01-11 17:16:57,119785
30,27,2,30_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2010-12-07T16:00:00+00:00,"湖北长江出版集团,长江文艺出版社",0,0,,湘行散记 (名家散文经典),2026-01-11 17:16:57,75219
31,26,2,31_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2017-08-31T16:00:00+00:00,北京十月文艺出版社,0,0,,爱你就像爱生命（李银河独家授权，亲自校订全稿。朱一龙夏日推荐书单，独家首次曝光王小波写在五线谱上的情书和亲笔书信照片。）,2026-01-11 17:16:57,39511
32,28,2,32_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2014-07-07T16:00:00+00:00,,0,0,,百年孤独,2026-01-11 17:16:57,103169
33,29,2,33_cover.jpeg,2026-01-11 17:16:57,,true,false,true,9787544722278,0,2012-03-31T16:00:00+00:00,译林出版社,0,0,,看不见的城市（王小波师承、珍藏、最爱的作家，超现实主义的幻想大师！约翰•厄普代克、安伯托•艾柯、莫言、梁文道、苏童、朱天文、唐诺、止庵盛赞！豆瓣4万读者9.0+分评价！） (卡尔维诺经典),2026-01-11 17:16:57,36698
34,30,2,34_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2021-08-31T16:00:00+00:00,,0,0,,神曲（全三册）（知名翻译家黄国彬意大利语原文直译，华语世界首部三韵体《神曲》全译本 理想国出品）,2026-01-11 17:16:57,197684
35,31,2,35_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2018-08-05T16:00:00+00:00,,0,0,,竹林的故事,2026-01-11 17:16:57,55484
36,32,2,36_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2013-12-31T16:00:00+00:00,上海译文出版社,0,0,,第二性（合卷本）,2026-01-11 17:16:57,127274
37,33,2,37_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,0101-01-01T00:00:00+00:00,,0,0,,给青年小说家的信,2026-01-11 17:16:57,55492
38,34,2,38_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2013-10-31T16:00:00+00:00,中华书局,0,0,,给青年的十二封信（精）--国民阅读经典,2026-01-11 17:16:57,57389
